인허가일자,영업상태구분코드,영업상태명,폐업일자,구,법정동,도로명전체주소,사업장명,업태구분명,좌표정보(x),좌표정보(y),행정동명,행정동코드,소재지면적,교통 수,집객시설 수,교육 수,경쟁자 수,인허가 영업,인허가 폐업,인허가 영업+폐업,타업종비율,타업종경쟁자,버퍼내폐업비율,영업기간,,아파트 세대수,제곱미터 당 임대료,임대료,총생활인구수,점심저녁시간대 생활인구수,골목상권,발달상권,구분불가,전통시장,관광특구,생존확률,생존예측
20180521,0,영업/정상,,영등포구,양평동5가,"서울특별시 영등포구 양평로21가길 19, 선유도 우림라이온스밸리 B 비동 107호 (양평동5가)",칸지고고선유도점,중국식,190341.5209,448436.1263,양평2동,11560620,126,61,5,287,32,383,292,675,0.952592593,643,0.432592593,1533,1,10124,30374.63,3831,28329.05959,29842.30973,0,0,1,0,0,0.07494356,0
20220228,0,영업/정상,,영등포구,양평동4가,"서울특별시 영등포구 선유로47길 19, 지하1층 공유주방1번가 #13호 (양평동4가)",라사천 마라탕 당산점,중국식,190625.6624,448156.014,양평2동,11560620,18,76,12,196,42,545,373,918,0.954248366,876,0.406318083,154,1,15980,30374.63,551,28329.05959,29842.30973,0,0,1,0,0,0.14147949,0
20180906,0,영업/정상,,영등포구,양평동5가,"서울특별시 영등포구 양평로21길 26, 선유도역1차아이에스비즈타워 지하1층 B108호 (양평동5가)",뉴욕짬뽕1201,중국식,190372.1271,448218.4465,양평2동,11560620,94,63,10,249,36,455,332,787,0.954256671,751,0.421855146,1425,1,12048,30374.63,2855,28329.05959,29842.30973,0,0,1,0,0,0.14147949,0
20210908,0,영업/정상,,영등포구,양평동6가,"서울특별시 영등포구 양평로30길 14, 1층 111호,112호,113호 (양평동6가)",다이닝차이나,중국식,190153.1285,448779.5745,양평2동,11560620,110,51,4,537,22,264,215,479,0.954070981,457,0.448851775,327,1,11401,30374.63,3329,28329.05959,29842.30973,0,0,1,0,0,0.13640918,0
20190809,0,영업/정상,,영등포구,신길동,"서울특별시 영등포구 신길로 167, 2층 (신길동)",샤브왕,중국식,192037.1739,444984.301,신길3동,11560650,146,123,6,179,97,621,576,1197,0.918964077,1100,0.481203008,1088,1,17919,29959.42714,4374,12816.08395,11445.25174,0,0,1,0,0,0.18529493,0
20220506,0,영업/정상,,영등포구,도림동,"서울특별시 영등포구 도신로27길 4, 한인빌딩(Hanine) 1층 (도림동)","중식, 볶당",중국식,191436.0444,445097.713,신길3동,11560650,47,123,9,153,99,646,613,1259,0.921366164,1160,0.486894361,87,1,15226,30017.68,1421,12816.08395,11445.25174,0,0,1,0,0,0.18529493,0
20180802,0,영업/정상,,영등포구,신길동,"서울특별시 영등포구 도신로48길 3, 1층 (신길동)",심양김가네불고기,중국식,192243.2511,445417.9249,신길4동,11560660,43,108,10,165,103,791,693,1484,0.930592992,1381,0.466981132,1460,1,15469,29959.42714,1288,7583.456705,7103.431285,0,0,1,0,0,0.19898562,0
20190701,0,영업/정상,,영등포구,신길동,"서울특별시 영등포구 도신로 191, 1층 (신길동)",이선생 미국가주 우육면,중국식,192179.5277,445465.7304,신길4동,11560660,80,107,9,149,109,833,724,1557,0.929993577,1448,0.464996789,1127,1,15469,29959.42714,2382,7583.456705,7103.431285,0,0,1,0,0,0.19898562,0
20220228,0,영업/정상,,영등포구,신길동,"서울특별시 영등포구 가마산로63길 1, 준하우스 101호 (신길동)",라사천마라탕 신길점,중국식,191620.8882,444832.8786,신길5동,11560670,20,125,8,181,110,600,602,1202,0.908485857,1092,0.500831947,154,1,18445,29959.42714,611,10948.4383,10721.63956,0,0,1,0,0,0.10650014,0
20210915,0,영업/정상,,영등포구,신길동,"서울특별시 영등포구 신길로 119, 112동 비113호 (신길동, 신길뉴타운 한화 꿈에그린)",홍콩반점0410 신풍점,중국식,191937.5546,444531.7292,신길5동,11560670,55,122,9,218,90,570,585,1155,0.922077922,1065,0.506493506,320,1,20591,29959.42714,1659,10948.4383,10721.63956,0,0,1,0,0,0.10650014,0
