교육 수,교통 수,버퍼내폐업비율,아파트 세대수,임대료,점심저녁시간대 생활인구수,집객시설 수,타업종경쟁자
133,106,0.473174667,10417,2696,18843.2556,12,1928
129,103,0.471052632,8595,1137,18843.2556,15,2095
133,106,0.469117647,10815,812,18843.2556,15,2141
140,110,0.468619247,10113,1611,18843.2556,12,1846
123,104,0.474733096,7476,1689,18843.2556,13,2234
138,107,0.468067906,10113,1072,18843.2556,12,1923
128,104,0.471161049,8595,585,18843.2556,15,2103
128,106,0.468856172,11803,1072,18843.2556,15,2076
132,106,0.470588235,9770,4006,18843.2556,15,2144
287,102,0.533490566,3280,1102,39979.50338,15,2043
268,129,0.534957627,6585,2465,39979.50338,9,1823
299,118,0.529598309,4456,642,39979.50338,8,1830
254,119,0.53929385,5973,1652,39979.50338,8,1695
202,87,0.540408163,3207,1818,39979.50338,6,1195
266,124,0.53262159,8208,794,21740.24438,8,1621
64,83,0.377622378,436,1778,32026.19779,47,549
227,109,0.529113924,8841,1242,12563.15445,7,1521
200,84,0.523887974,8179,1028,13732.39908,9,1164
163,97,0.526372443,14154,1323,18817.68998,3,895
272,117,0.511964549,1752,629,64012.98508,33,3208
348,117,0.533428844,4164,2049,39161.33257,10,2034
277,109,0.553728714,15777,1775,16952.0564,13,1624
311,147,0.558590029,8359,906,23689.09175,37,2998
311,147,0.558590029,8359,4374,23689.09175,37,2998
330,145,0.55489022,9286,787,23689.09175,36,2858
321,119,0.472222222,14889,4003,18178.5695,12,992
281,98,0.472947761,11689,2144,18178.5695,12,1015
173,69,0.51814059,6667,1335,14042.38559,11,1700
277,104,0.481142857,13160,5067,35764.16763,12,827
286,115,0.49008168,12882,3523,35764.16763,11,814
299,110,0.48003992,13365,3767,35764.16763,13,948
282,103,0.479957806,13888,4428,35764.16763,13,895
147,100,0.472392638,12426,2230,21621.5139,17,1408
132,116,0.498369211,3710,548,15465.62248,13,1479
255,117,0.50591716,22413,3660,37557.40959,25,1298
146,129,0.395977809,11398,2092,44978.79125,11,1391
214,82,0.554030875,17896,922,9971.567136,9,561
68,74,0.495440729,2718,1084,26011.7297,5,636
107,48,0.43423953,2110,1417,23078.81627,11,1311
106,41,0.416901408,1540,2579,23078.81627,11,1026
274,94,0.449786325,12366,1622,25603.0493,21,1799
83,78,0.486111111,9137,1670,18428.03924,7,1262
86,79,0.44665272,2979,3500,25115.11668,8,896
84,79,0.438202247,2979,1625,25115.11668,8,918
87,81,0.448007775,3414,4255,25115.11668,9,969
174,107,0.485939258,11944,2289,20961.26048,8,861
70,64,0.363572433,3225,445,40993.88901,14,1349
70,64,0.363572433,3225,445,40993.88901,14,1349
