경쟁자 수,교통 수,인허가 폐업,임대료,점심저녁시간대 생활인구수,집객시설 수,타업종비율
118,68,637,1178,19520.16563,13,0.912137007
92,72,503,2514,19520.16563,15,0.907630522
118,68,637,1184,19520.16563,13,0.912137007
92,71,502,603,19520.16563,15,0.909359606
124,81,688,2564,44660.5002,13,0.917056856
113,91,676,492,44660.5002,13,0.923337856
124,55,795,630,13384.80088,9,0.922305764
214,86,837,823,18428.03924,9,0.886772487
218,97,839,1147,18428.03924,10,0.885564304
101,108,494,571,27915.81412,7,0.891163793
164,64,751,761,20116.34637,15,0.890080429
155,66,703,1005,17915.96462,10,0.891304348
248,98,975,465,24959.37612,7,0.88443616
251,103,898,826,24959.37612,9,0.875988142
94,94,415,704,27915.81412,7,0.879332478
104,85,478,542,27915.81412,8,0.88261851
126,140,391,1533,17973.59103,10,0.843478261
210,33,989,1220,27812.43798,2,0.88372093
72,96,253,3899,16595.98649,11,0.903355705
103,84,291,5494,15798.86142,18,0.888528139
220,102,1211,858,18022.5886,23,0.913180742
216,101,1185,3533,18022.5886,20,0.912373225
169,80,868,614,34152.22118,19,0.902255639
160,72,653,1112,20470.0025,8,0.854413103
127,62,680,1039,38110.8177,20,0.915446072
233,99,1381,343,18022.5886,19,0.917784051
232,107,1312,792,18022.5886,21,0.91464312
216,88,1225,789,34851.63155,20,0.913875598
218,90,1215,900,34851.63155,23,0.912625251
213,84,1200,858,34851.63155,20,0.913202934
246,51,1605,538,18597.21201,281,0.92369727
248,50,1637,1346,18597.21201,282,0.924274809
224,96,867,1089,18734.86704,9,0.853690398
189,96,639,728,18178.5695,13,0.864516129
190,90,675,416,18178.5695,14,0.871011541
152,62,869,918,44660.5002,6,0.920126117
155,108,829,1191,11514.4938,11,0.903064415
161,95,778,2724,15402.92528,13,0.889726027
161,96,777,703,15402.92528,13,0.889423077
147,100,783,394,15402.92528,11,0.898969072
148,99,783,935,15402.92528,11,0.898560658
147,100,783,394,15402.92528,11,0.898969072
120,89,680,1313,24634.25263,13,0.91797676
151,104,843,1624,11514.4938,13,0.911384977
162,109,849,1033,11514.4938,11,0.902468393
122,91,621,1268,25464.58186,10,0.907294833
167,97,854,873,34851.63155,20,0.902282036
167,97,854,1928,34851.63155,20,0.902282036
167,97,854,6192,34851.63155,20,0.902282036
170,93,876,906,34851.63155,21,0.902912621
114,51,693,726,10160.0401,5,0.918976546
123,55,521,821,16804.03666,6,0.873326468
109,90,494,811,16066.15605,9,0.882034632
103,72,452,561,16066.15605,9,0.879249707
149,99,778,2170,30970.59425,10,0.898084815
118,80,645,1280,44660.5002,6,0.915654039
115,79,633,212,44660.5002,6,0.916363636
115,67,646,788,44660.5002,7,0.917027417
115,79,652,697,44660.5002,6,0.918032787
96,83,316,894,47422.94108,3,0.838655462
132,70,757,448,21634.83018,15,0.903719912
289,85,1004,933,14743.22995,13,0.854700855
216,88,807,840,18734.86704,9,0.845382963
188,84,794,1180,18734.86704,11,0.862673484
189,101,796,932,23795.55066,8,0.876551274
315,82,885,892,14549.63085,29,0.871270944
256,84,722,435,14549.63085,24,0.867082035
274,74,806,1282,14549.63085,27,0.871421868
125,68,618,1103,37988.80625,10,0.886363636
112,69,649,1236,37988.80625,8,0.903531438
60,66,450,2335,35041.84366,6,0.93852459
95,94,513,985,30733.40349,5,0.915254237
124,64,722,948,13340.90472,8,0.917989418
120,67,692,5415,13340.90472,7,0.917638984
127,67,555,2787,12830.53078,12,0.884650318
221,73,883,1130,23937.25458,13,0.877290394
219,74,860,719,23937.25458,13,0.875071306
281,73,1213,685,23937.25458,13,0.880679406
260,68,1146,904,23937.25458,13,0.884649512
220,63,926,339,23937.25458,13,0.884393064
222,61,944,792,23937.25458,14,0.885684861
235,68,1031,1605,23937.25458,14,0.885700389
225,61,942,959,23937.25458,13,0.88372093
226,63,989,959,23937.25458,13,0.887337986
153,77,851,948,44660.5002,13,0.915
165,123,790,1352,20835.35135,8,0.890583554
228,104,953,1432,19006.12565,18,0.888508557
257,107,1006,811,12993.74105,16,0.879962634
172,104,739,653,23795.55066,7,0.879888268
166,98,705,452,23795.55066,7,0.878566203
155,95,836,1209,19314.25885,7,0.903546982
132,81,682,1269,19314.25885,5,0.900226757
173,124,979,876,19314.25885,10,0.90932914
144,89,743,1209,19314.25885,7,0.898662913
160,96,859,967,19314.25885,8,0.903439952
151,110,731,1257,34152.22118,21,0.900264201
147,112,702,432,34152.22118,20,0.900876601
147,112,702,498,34152.22118,20,0.900876601
151,110,731,1279,34152.22118,21,0.900264201
151,110,731,1358,34152.22118,21,0.900264201
169,90,889,869,34321.39937,12,0.899940793
113,81,629,1227,34321.39937,9,0.907377049
168,90,766,594,14749.56317,10,0.882763433
181,98,901,2006,14749.56317,9,0.899388549
127,84,651,635,32931.6198,8,0.897580645
131,87,689,1032,32931.6198,7,0.898919753
110,97,489,778,33645.9877,8,0.88210075
88,116,288,627,39876.45671,8,0.853333333
161,121,414,534,39876.45671,12,0.82537961
138,103,364,2507,39876.45671,7,0.827930175
268,118,1134,514,15225.36949,14,0.872744539
216,96,916,508,20626.42224,16,0.879262158
239,89,1005,544,20626.42224,14,0.877373012
106,66,374,1401,19037.66679,7,0.846376812
118,91,492,2627,22488.12742,11,0.878224974
241,110,1001,2022,21351.53591,8,0.874217119
188,112,867,1430,39979.50338,8,0.885015291
178,116,876,716,39979.50338,8,0.892121212
229,112,1051,662,21602.06247,6,0.885270541
147,77,643,2607,41819.70572,6,0.914135514
157,69,630,1054,41819.70572,13,0.90786385
223,117,1411,283,48294.13887,21,0.923182914
224,118,1403,431,48294.13887,20,0.922330097
205,135,1485,542,11153.65005,27,0.929986339
182,90,908,1887,34851.63155,22,0.899336283
164,116,1137,789,11153.65005,20,0.929279862
217,135,1503,1386,11153.65005,26,0.927009754
212,137,1468,1132,11153.65005,26,0.927122723
168,114,1058,593,34851.63155,19,0.921348315
85,88,530,1495,21563.97656,14,0.924911661
91,87,606,1235,21563.97656,17,0.929347826
110,69,600,1217,13790.51191,12,0.913317573
187,117,999,487,24944.83827,17,0.910311751
