경쟁자 수,교육 수,교통 수,버퍼내폐업비율,인허가 영업,인허가 폐업,임대료,집객시설 수,타업종경쟁자
181,298,116,0.474654378,912,824,452,17,1555
186,303,110,0.465792474,937,817,1290,18,1568
59,164,63,0.522313011,760,831,3840,11,1532
57,166,74,0.495906433,862,848,1516,11,1653
89,91,82,0.466044143,629,549,667,16,1089
42,126,81,0.458766035,886,751,516,7,1595
42,127,76,0.461491813,888,761,1316,9,1607
103,262,78,0.498607242,900,895,3263,9,1692
90,219,76,0.490589711,812,782,1772,7,1504
119,437,53,0.482923497,757,707,1317,13,1345
210,357,102,0.472493573,1026,919,1994,18,1735
195,308,107,0.468973092,967,854,757,18,1626
537,33,106,0.37421563,2194,1312,3180,70,2969
71,120,79,0.528804815,548,615,2639,10,1092
508,24,82,0.353465631,2248,1229,1333,66,2969
451,207,107,0.547061241,1102,1331,3364,33,1982
55,93,62,0.361079865,568,321,477,14,834
39,142,60,0.47768595,316,289,553,5,566
58,200,95,0.453396524,692,574,7786,10,1208
67,215,105,0.527823241,577,645,1078,9,1155
102,96,106,0.502877698,1382,1398,4460,9,2678
68,204,70,0.528500277,852,955,877,12,1739
68,180,68,0.526287554,883,981,513,14,1796
63,245,68,0.525633107,768,851,647,13,1556
63,226,68,0.52244898,702,768,1026,10,1407
43,187,65,0.541598695,562,664,1474,15,1183
35,211,76,0.46868476,509,449,1732,6,923
74,126,93,0.422374429,759,555,1075,17,1240
68,172,81,0.464712269,493,428,1663,7,853
61,116,94,0.488203267,1128,1076,1731,24,2143
1436,270,53,0.516721491,1763,1885,3168,163,2212
1343,252,55,0.515402844,1636,1740,5425,149,2033
1285,264,57,0.516199377,1553,1657,351,145,1925
1336,266,52,0.51518797,1612,1713,4626,143,1989
1460,275,52,0.516486486,1789,1911,3039,161,2240
421,181,46,0.517751479,652,700,46069,52,931
303,167,40,0.499416569,429,428,1888,50,554
1535,334,59,0.506520072,1930,1981,6469,208,2376
1497,310,57,0.507798044,1862,1921,6795,205,2286
1455,292,53,0.511280239,1798,1881,4783,171,2224
1523,304,55,0.512800621,1884,1983,7527,174,2344
1567,312,52,0.508508509,1964,2032,12268,174,2429
1527,270,56,0.512516129,1889,1986,3963,133,2348
151,101,65,0.493632959,676,659,6076,13,1184
152,96,68,0.492481203,675,655,1985,14,1178
44,168,124,0.47631242,409,372,330,7,737
120,138,81,0.53907496,867,1014,2617,6,1761
100,124,78,0.545509709,749,899,1158,12,1548
185,139,104,0.523827678,1249,1374,926,13,2438
186,145,107,0.525038521,1233,1363,933,10,2410
114,34,29,0.441176471,266,210,1114,4,362
1000,406,95,0.516069221,2349,2505,9318,208,3854
1316,234,64,0.496368715,1803,1777,4880,106,2264
156,42,46,0.375,560,336,2323,9,740
114,277,68,0.494863014,590,578,1516,16,1054
131,306,72,0.466945024,766,671,3005,15,1306
116,269,68,0.471133286,742,661,1149,14,1287
126,321,64,0.47518797,698,632,215,16,1204
125,330,65,0.470137825,692,614,1062,15,1181
124,339,66,0.469387755,676,598,3527,15,1150
128,185,66,0.475330927,872,790,1083,14,1534
131,201,69,0.47642376,855,778,2961,23,1502
130,277,73,0.468686869,789,696,864,16,1355
131,194,72,0.47327249,808,726,2491,13,1403
131,192,75,0.470626632,811,721,5205,13,1401
102,139,59,0.488424619,906,865,657,10,1669
60,117,95,0.447900467,1065,864,273,10,1869
51,128,95,0.441306755,1009,797,1001,11,1755
50,112,88,0.450672646,980,804,1092,8,1734
51,114,94,0.444323144,1018,814,1007,7,1781
618,223,60,0.503298775,1054,1068,2431,63,1504
65,220,114,0.458133971,453,383,1175,11,771
158,111,66,0.493055556,730,710,4810,14,1282
156,112,62,0.500683995,730,732,336,15,1306
137,141,65,0.488628026,697,666,2139,10,1226
65,133,103,0.443675889,1126,898,1177,8,1959
816,1359,72,0.509105517,1833,1901,1746,49,2918
789,1427,74,0.50264403,1787,1806,4563,48,2804
59,321,69,0.313253012,570,260,1044,14,771
136,290,33,0.544456641,830,992,981,3,1686
196,339,42,0.543368518,995,1184,1474,10,1983
189,290,34,0.546616186,958,1155,1472,4,1924
130,269,33,0.543869516,811,967,1293,3,1648
55,175,96,0.328883495,553,271,1290,12,769
62,118,73,0.324195471,567,272,3987,16,777
64,129,78,0.325369738,593,286,1433,17,815
64,130,80,0.326111745,591,286,1290,17,813
65,146,86,0.320584927,604,285,4422,16,824
78,267,85,0.517844137,662,711,3199,7,1295
84,181,116,0.496217852,666,656,1980,9,1238
72,213,118,0.492449664,605,587,1438,8,1120
89,153,118,0.494656489,662,648,728,9,1221
58,229,124,0.489959839,508,488,2852,8,938
124,101,79,0.465235174,1046,910,1819,13,1832
147,269,59,0.452463567,789,652,2962,17,1294
160,235,65,0.454091193,874,727,4626,17,1441
211,284,84,0.519791667,461,499,3157,13,749
138,165,97,0.451168364,916,753,1620,12,1531
149,153,99,0.455031599,1121,936,5576,12,1908
141,166,95,0.450887574,928,762,546,10,1549
1126,505,49,0.489548213,1514,1452,2649,269,1840
95,69,102,0.450522928,683,560,1581,25,1148
80,151,92,0.564032698,640,828,2102,12,1388
74,285,96,0.474459725,535,483,571,13,944
915,183,61,0.498746082,1599,1591,2537,88,2275
165,126,66,0.470149254,781,693,1077,16,1309
152,172,79,0.459644323,790,672,688,23,1310
152,172,79,0.459644323,790,672,1027,15,1310
124,173,61,0.457958752,1025,866,886,8,1767
126,173,62,0.456647399,1034,869,849,6,1777
134,177,73,0.455890122,1030,863,617,5,1759
104,143,54,0.47173913,972,868,853,8,1736
89,263,112,0.516069221,783,835,1083,11,1529
73,256,97,0.532659933,694,791,1083,14,1412
65,353,93,0.529538905,653,735,788,11,1323
66,297,97,0.533190578,654,747,738,9,1335
