인허가일자,영업상태구분코드,영업상태명,폐업일자,구,법정동,도로명전체주소,사업장명,업태구분명,좌표정보(x),좌표정보(y),행정동명,행정동코드,소재지면적,교통 수,집객시설 수,교육 수,경쟁자 수,인허가 영업,인허가 폐업,인허가 영업+폐업,타업종비율,타업종경쟁자,버퍼내폐업비율,영업기간,아파트 세대수,제곱미터 당 임대료,임대료,총생활인구수,점심저녁시간대 생활인구수,골목상권,발달상권,구분불가,전통시장,관광특구,생존확률,생존여부
20191212,0,영업/정상,,동대문구,답십리동,"서울특별시 동대문구 전농로11길 59, 2층 4호 (답십리동, 코지스페이스)",산체스커피 답십리점,분식,204970.7451,452352.1413,답십리1동,11230600,16,70,15,187,132,614,757,1371,0.903719912,1239,0.552151714,963,19980,27705.37,448,23300.27437,21634.83018,1,0,0,0,0,0.014836066,0
20201005,0,영업/정상,,관악구,신림동,"서울특별시 관악구 신원로 17, 1층 (신림동)",장호덕손만두 신림점,분식,193544.8257,442107.144,신원동,11620655,30,85,13,119,289,985,1004,1989,0.854700855,1700,0.504776269,665,2602,31104.7,933,16577.94618,14743.22995,1,0,0,0,0,0.013179737,0
20191014,0,영업/정상,,관악구,신림동,"서울특별시 관악구 난곡로51길 8, 1층 (신림동)","안녕, 이태리(Hello Italy)",분식,192388.6354,441790.2165,미성동,11620765,27,88,9,131,216,590,807,1397,0.845382963,1181,0.577666428,1022,4009,31104.7,840,20822.30873,18734.86704,1,0,0,0,0,0.013845309,0
20190103,0,영업/정상,,관악구,신림동,"서울특별시 관악구 문성로 82, 1층 (신림동)",응급실국물떡볶이 신림미성점,분식,192198.0931,441673.2532,미성동,11620765,38,84,11,125,188,575,794,1369,0.862673484,1181,0.579985391,1306,3705,31104.7,1180,20822.30873,18734.86704,1,0,0,0,0,0.013179737,0
20171207,0,영업/정상,,은평구,갈현동,"서울특별시 은평구 통일로87길 18-6, 1층 좌측호 (갈현동)",정영김밥,분식,192685.6146,457942.5644,갈현1동,11380551,33,101,8,251,189,735,796,1531,0.876551274,1342,0.51992162,1698,1172,28255.21417,932,23773.45021,23795.55066,1,0,0,0,0,0.012449829,0
20180731,0,영업/정상,,중구,신당동,"서울특별시 중구 다산로33길 74, 1층 (신당동)",진순자계란말이김밥 신당점,분식,200927.4466,451295.3923,다산동,11140625,19,82,29,93,315,1562,885,2447,0.871270944,2132,0.361667348,1462,5942,45775.96375,892,14602.88485,14549.63085,1,0,0,0,0,0.012449829,0
20190930,0,영업/정상,,중구,신당동,"서울특별시 중구 청구로17길 28, 1층 (신당동)",단비네,분식,200975.0121,450864.2668,다산동,11140625,10,84,24,105,256,1204,722,1926,0.867082035,1670,0.374870197,1036,9899,45775.96375,435,14602.88485,14549.63085,1,0,0,0,0,0.013179737,0
20220225,0,영업/정상,,중구,신당동,"서울특별시 중구 청구로 107, 1층 101호 (신당동)",야야찐만두,분식,200862.8169,451007.5383,다산동,11140625,28,74,27,97,274,1325,806,2131,0.871421868,1857,0.378226185,157,6632,45775.96375,1282,14602.88485,14549.63085,1,0,0,0,0,0.012449829,0
20191230,0,영업/정상,,양천구,신정동,"서울특별시 양천구 중앙로 256, 1층 (신정동)",김가네,분식,186978.0787,446367.6703,신정3동,11470640,33,68,10,302,125,482,618,1100,0.886363636,975,0.561818182,945,20613,33415.41042,1103,42070.03564,37988.80625,1,0,0,0,0,0.014836066,0
20210906,0,영업/정상,,양천구,신정동,"서울특별시 양천구 중앙로47길 14, 지하 1층 (신정동)",별빛돈카츠,분식,186722.5077,446428.7365,신정3동,11470640,37,69,8,221,112,512,649,1161,0.903531438,1049,0.559000861,329,15436,33415.41042,1236,42070.03564,37988.80625,1,0,0,0,0,0.014836066,0
