경쟁자 수,교육 수,교통 수,버퍼내폐업비율,아파트 세대수,임대료,점심저녁시간대 생활인구수,집객시설 수,타업종경쟁자,타업종비율
79,119,87,0.444261395,5054,878,24959.37612,11,1742,0.956617243
77,122,95,0.43902439,4880,594,24959.37612,9,1768,0.958265583
78,128,101,0.440314136,5224,774,24959.37612,8,1832,0.959162304
67,118,92,0.445146468,5909,619,24959.37612,15,1674,0.96151637
78,246,71,0.32748538,5218,839,23158.27997,15,777,0.90877193
120,93,75,0.409770688,3099,3720,20560.19923,7,1886,0.940179462
68,168,115,0.470474347,18064,1545,40842.28185,8,965,0.934172314
108,96,81,0.432884097,6024,1430,20560.19923,10,1747,0.941778976
111,95,75,0.428800857,5485,1490,20560.19923,9,1757,0.940578158
110,93,88,0.440734558,6304,2338,20560.19923,8,1687,0.938786867
108,96,81,0.432884097,6024,1537,20560.19923,9,1747,0.941778976
108,96,81,0.432884097,6024,1430,20560.19923,8,1747,0.941778976
105,89,77,0.432550519,5768,2507,20560.19923,8,1726,0.942654287
108,96,81,0.432884097,6024,1564,20560.19923,8,1747,0.941778976
107,99,83,0.426972281,6024,7151,20560.19923,10,1769,0.942963753
101,94,80,0.420189274,7396,3241,41819.70572,9,1484,0.936277603
433,327,151,0.546387435,8616,2039,92063.85439,29,4342,0.909319372
240,299,147,0.539841223,9451,3112,92063.85439,35,3161,0.92943252
293,309,142,0.533677349,8203,709,25660.57992,37,3389,0.920423683
100,145,118,0.386478873,17335,302,10456.62387,19,1675,0.943661972
112,277,102,0.566316794,18862,824,23689.09175,26,1984,0.946564885
53,221,59,0.480934809,14738,2985,21563.97656,15,760,0.934809348
134,318,49,0.485059761,16932,1042,30883.73348,9,1874,0.933266932
153,300,51,0.473447345,4167,2994,30883.73348,16,2069,0.931143114
142,376,59,0.481596682,7573,1089,30883.73348,10,1787,0.926386729
150,361,56,0.478636582,7093,2484,30883.73348,12,1933,0.927988478
136,339,42,0.546401515,8263,1337,27812.43798,9,1976,0.935606061
116,323,45,0.545350827,8656,3816,27812.43798,17,1637,0.933827724
128,351,44,0.543456033,19504,1105,27812.43798,22,1828,0.934560327
110,321,43,0.550299401,17611,1248,27812.43798,20,1560,0.934131737
136,339,42,0.546401515,8263,1293,27812.43798,8,1976,0.935606061
89,341,45,0.54526749,21704,3939,34426.55575,17,1369,0.938957476
90,332,41,0.545577313,21704,8403,34426.55575,17,1391,0.93923025
102,382,44,0.547032475,20603,1829,34426.55575,18,1684,0.942889138
87,324,41,0.540673212,19026,542,34426.55575,17,1339,0.938990182
102,381,42,0.546666667,20603,8172,34426.55575,18,1698,0.943333333
76,277,38,0.531714957,19026,3183,34426.55575,18,1201,0.940485513
89,331,44,0.544709898,21704,4472,34426.55575,17,1376,0.939249147
90,348,43,0.544295302,21704,6437,34426.55575,17,1400,0.939597315
281,195,64,0.49985959,5701,1422,134994.9088,65,3280,0.921089582
