인허가일자,영업상태구분코드,영업상태명,폐업일자,구,법정동,도로명전체주소,사업장명,업태구분명,좌표정보(x),좌표정보(y),행정동명,행정동코드,소재지면적,교통 수,집객시설 수,교육 수,경쟁자 수,인허가 영업,인허가 폐업,인허가 영업+폐업,타업종비율,타업종경쟁자,버퍼내폐업비율,영업기간,아파트 세대수,제곱미터 당 임대료,임대료,총생활인구수,점심저녁시간대 생활인구수,골목상권,발달상권,구분불가,전통시장,관광특구,생존확률,생존예측
20211202,0,영업/정상,,마포구,연남동,"서울특별시 마포구 동교로46길 10, 2층 201호 (연남동)",다인,일식,193329.3398,451143.33,서교동,11440660,45,126,19,254,303,1343,1492,2835,0.893121693,2532,0.52627866,242,2345,39811.42,1792,73351.93437,92063.85439,0,1,0,0,0,0.06739235,0
20210930,0,영업/정상,,마포구,연남동,"서울특별시 마포구 동교로38길 33, 지빌딩 지1층 2호 (연남동)",쿄다이 텐동,일식,193368.7006,451027.0373,서교동,11440660,51,129,20,265,338,1626,1771,3397,0.900500442,3059,0.521342361,305,2584,39811.42,2026,73351.93437,92063.85439,0,1,0,0,0,0.065798886,0
20210423,0,영업/정상,,마포구,연남동,"서울특별시 마포구 동교로38길 27-4, 1층 (연남동)",하나라멘,일식,193371.1086,451043.9257,서교동,11440660,56,129,23,262,333,1595,1739,3334,0.900119976,3001,0.521595681,465,2584,39811.42,2220,73351.93437,92063.85439,0,1,0,0,0,0.065798886,0
20210224,0,영업/정상,,마포구,연남동,"서울특별시 마포구 동교로38길 23, 1층 (연남동)",카츠만개,일식,193346.8264,451064.3898,서교동,11440660,73,128,21,258,324,1517,1670,3187,0.898336994,2863,0.524003765,523,2584,39811.42,2917,73351.93437,92063.85439,0,1,0,0,0,0.06739235,0
20210420,0,영업/정상,,마포구,연남동,"서울특별시 마포구 동교로46길 16, 보고스 지층 (연남동)",미도리,일식,193352.3317,451110.5155,서교동,11440660,60,125,23,254,314,1442,1587,3029,0.896335424,2715,0.523935292,468,2584,39811.42,2389,73351.93437,92063.85439,0,1,0,0,0,0.06739235,0
20170823,0,영업/정상,,마포구,동교동,"서울특별시 마포구 동교로 213, 1층 (동교동)",홍반장순대전문점,일식,193167.186,450760.7715,서교동,11440660,90,134,20,310,383,1706,1984,3690,0.896205962,3307,0.537669377,1804,4542,45314.8025,4063,73351.93437,92063.85439,0,1,0,0,0,0.06739235,0
20170823,0,영업/정상,,마포구,동교동,"서울특별시 마포구 동교로 213, 2층 (동교동)",홍반장순대전문점,일식,193167.186,450760.7715,서교동,11440660,114,134,20,310,383,1706,1984,3690,0.896205962,3307,0.537669377,1804,4542,45314.8025,5177,73351.93437,92063.85439,0,1,0,0,0,0.06739235,0
20170804,0,영업/정상,,마포구,연남동,"서울특별시 마포구 동교로38안길 16, 1층 (연남동)",봉화,일식,193303.6454,451110.5793,서교동,11440660,59,121,23,260,311,1380,1531,2911,0.893163861,2600,0.525936104,1823,2345,39811.42,2365,73351.93437,92063.85439,0,1,0,0,0,0.06739235,0
20170901,0,영업/정상,,마포구,연남동,"서울특별시 마포구 동교로 242-13 (연남동, 2층)",쿠루미,일식,193317.9347,451013.9188,서교동,11440660,67,127,21,267,333,1560,1736,3296,0.898968447,2963,0.526699029,1795,2584,39811.42,2686,73351.93437,92063.85439,0,1,0,0,0,0.06739235,0
20181029,0,영업/정상,,마포구,연남동,"서울특별시 마포구 동교로 256-10, 1층 (연남동)",키친숲,일식,193319.9984,451131.951,서교동,11440660,54,125,20,257,306,1354,1498,2852,0.892706872,2546,0.525245442,1372,2345,39811.42,2162,73351.93437,92063.85439,0,1,0,0,0,0.06739235,0
